I, [2019-08-17T11:04:29.777588 #31062]  INFO -- Kitchen: -----> Starting Kitchen (v1.23.2)
E, [2019-08-17T11:04:29.777905 #31062] ERROR -- Kitchen: ------Exception-------
E, [2019-08-17T11:04:29.777945 #31062] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-08-17T11:04:29.777968 #31062] ERROR -- Kitchen: Message: Kitchen YAML file /Users/tio/mydemo/chef-playground/cookbooks/search_nodes/recipes/.kitchen.yml does not exist.
E, [2019-08-17T11:04:29.777987 #31062] ERROR -- Kitchen: ----------------------
E, [2019-08-17T11:04:29.778025 #31062] ERROR -- Kitchen: ------Backtrace-------
E, [2019-08-17T11:04:29.778045 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-08-17T11:04:29.778063 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:152:in `data'
E, [2019-08-17T11:04:29.778085 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:131:in `suites'
E, [2019-08-17T11:04:29.778103 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-08-17T11:04:29.778120 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-08-17T11:04:29.778142 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:117:in `instances'
E, [2019-08-17T11:04:29.778167 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-08-17T11:04:29.778185 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-08-17T11:04:29.778202 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-08-17T11:04:29.778220 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-08-17T11:04:29.778237 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command/action.rb:34:in `call'
E, [2019-08-17T11:04:29.778255 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/cli.rb:52:in `perform'
E, [2019-08-17T11:04:29.778273 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-08-17T11:04:29.778290 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/command.rb:27:in `run'
E, [2019-08-17T11:04:29.778308 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-08-17T11:04:29.778325 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor.rb:387:in `dispatch'
E, [2019-08-17T11:04:29.778343 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/base.rb:466:in `start'
E, [2019-08-17T11:04:29.778360 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/bin/kitchen:13:in `block in <top (required)>'
E, [2019-08-17T11:04:29.778377 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-08-17T11:04:29.778396 #31062] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/bin/kitchen:13:in `<top (required)>'
E, [2019-08-17T11:04:29.778413 #31062] ERROR -- Kitchen: /usr/local/bin/kitchen:296:in `load'
E, [2019-08-17T11:04:29.778429 #31062] ERROR -- Kitchen: /usr/local/bin/kitchen:296:in `<main>'
E, [2019-08-17T11:04:29.778446 #31062] ERROR -- Kitchen: ----End Backtrace-----
